"Geography","Financial Year","Budget Phase","Class","Service Name","Total"
"BUF","2016/17","Audited Outcome","Affordable Range","Electricity: Basic levy",0.00
"BUF","2016/17","Audited Outcome","Affordable Range","Electricity: Consumption",599.27
"BUF","2016/17","Audited Outcome","Affordable Range","Other",39.41
"BUF","2016/17","Audited Outcome","Affordable Range","Property rates",405.26
"BUF","2016/17","Audited Outcome","Affordable Range","Refuse removal",184.30
"BUF","2016/17","Audited Outcome","Affordable Range","Sanitation",104.74
"BUF","2016/17","Audited Outcome","Affordable Range","Water: Basic levy",0.00
"BUF","2016/17","Audited Outcome","Affordable Range","Water: Consumption",297.94
"BUF","2016/17","Audited Outcome","Indigent HH receiving FBS","Electricity: Basic levy",0.00
"BUF","2016/17","Audited Outcome","Indigent HH receiving FBS","Electricity: Consumption",59.92
"BUF","2016/17","Audited Outcome","Indigent HH receiving FBS","Other",39.41
"BUF","2016/17","Audited Outcome","Indigent HH receiving FBS","Property rates",121.57
"BUF","2016/17","Audited Outcome","Indigent HH receiving FBS","Refuse removal",184.31
"BUF","2016/17","Audited Outcome","Indigent HH receiving FBS","Sanitation",95.69
"BUF","2016/17","Audited Outcome","Indigent HH receiving FBS","Water: Basic levy",0.00
"BUF","2016/17","Audited Outcome","Indigent HH receiving FBS","Water: Consumption",71.50
"BUF","2016/17","Audited Outcome","Middle Income Range","Electricity: Basic levy",0.00
"BUF","2016/17","Audited Outcome","Middle Income Range","Electricity: Consumption",1198.54
"BUF","2016/17","Audited Outcome","Middle Income Range","Other",39.41
"BUF","2016/17","Audited Outcome","Middle Income Range","Property rates",567.37
"BUF","2016/17","Audited Outcome","Middle Income Range","Refuse removal",184.31
"BUF","2016/17","Audited Outcome","Middle Income Range","Sanitation",294.33
"BUF","2016/17","Audited Outcome","Middle Income Range","Water: Basic levy",0.00
"BUF","2016/17","Audited Outcome","Middle Income Range","Water: Consumption",357.53
"BUF","2017/18","Audited Outcome","Affordable Range","Electricity: Basic levy",0.00
"BUF","2017/18","Audited Outcome","Affordable Range","Electricity: Consumption",610.84
"BUF","2017/18","Audited Outcome","Affordable Range","Other",43.04
"BUF","2017/18","Audited Outcome","Affordable Range","Property rates",444.16
"BUF","2017/18","Audited Outcome","Affordable Range","Refuse removal",202.36
"BUF","2017/18","Audited Outcome","Affordable Range","Sanitation",115.00
"BUF","2017/18","Audited Outcome","Affordable Range","Water: Basic levy",0.00
"BUF","2017/18","Audited Outcome","Affordable Range","Water: Consumption",326.24
"BUF","2017/18","Audited Outcome","Indigent HH receiving FBS","Electricity: Basic levy",0.00
