Geography,Financial Year,Budget Phase,Class,Total,Percent Increase
BUF,2015/16,Audited Outcome,Middle Income Range,2452.43,
BUF,2016/17,Audited Outcome,Middle Income Range,2641.49,7.71
BUF,2017/18,Audited Outcome,Middle Income Range,2803.59,6.14
BUF,2018/19,Original Budget,Middle Income Range,2973.56,6.06
BUF,2018/19,Adjusted Budget,Middle Income Range,2973.56,
BUF,2019/20,Budget Year,Middle Income Range,3298.33,10.92
BUF,2020/21,Budget Year,Middle Income Range,3567.89,8.17
BUF,2021/22,Budget Year,Middle Income Range,3830.83,7.37
BUF,2015/16,Audited Outcome,Affordable Range,1514.02,
BUF,2016/17,Audited Outcome,Affordable Range,1630.92,7.72
BUF,2017/18,Audited Outcome,Affordable Range,1741.64,6.79
BUF,2018/19,Original Budget,Affordable Range,1845.22,5.95
BUF,2018/19,Adjusted Budget,Affordable Range,1845.22,
BUF,2019/20,Budget Year,Affordable Range,2040.69,10.59
BUF,2020/21,Budget Year,Affordable Range,2206.77,8.14
BUF,2021/22,Budget Year,Affordable Range,2368.55,7.33
BUF,2015/16,Audited Outcome,Indigent HH receiving FBS,531.24,
BUF,2016/17,Audited Outcome,Indigent HH receiving FBS,572.4,7.75
BUF,2017/18,Audited Outcome,Indigent HH receiving FBS,623.09,8.86
BUF,2018/19,Original Budget,Indigent HH receiving FBS,665.86,6.86
BUF,2018/19,Adjusted Budget,Indigent HH receiving FBS,665.86,
BUF,2019/20,Budget Year,Indigent HH receiving FBS,730.16,9.66
BUF,2020/21,Budget Year,Indigent HH receiving FBS,788.8,8.03
BUF,2021/22,Budget Year,Indigent HH receiving FBS,838.28,6.27
NMA,2015/16,Audited Outcome,Middle Income Range,2926.03,
NMA,2016/17,Audited Outcome,Middle Income Range,3220.04,10.05
NMA,2017/18,Audited Outcome,Middle Income Range,3376.81,4.87
NMA,2018/19,Original Budget,Middle Income Range,3619.06,7.17
NMA,2018/19,Adjusted Budget,Middle Income Range,3619.06,
NMA,2019/20,Budget Year,Middle Income Range,3997.49,10.46
NMA,2020/21,Budget Year,Middle Income Range,4204.56,5.18
NMA,2021/22,Budget Year,Middle Income Range,4728.4,12.46
NMA,2015/16,Audited Outcome,Affordable Range,1763.24,
NMA,2016/17,Audited Outcome,Affordable Range,1954.78,10.86
NMA,2017/18,Audited Outcome,Affordable Range,2069.53,5.87
NMA,2018/19,Original Budget,Affordable Range,2222.78,7.41
NMA,2018/19,Adjusted Budget,Affordable Range,2222.78,
NMA,2019/20,Budget Year,Affordable Range,2437.67,9.67
NMA,2020/21,Budget Year,Affordable Range,2712.87,11.29
NMA,2021/22,Budget Year,Affordable Range,3034.64,11.86
NMA,2015/16,Audited Outcome,Indigent HH receiving FBS,490.84,
NMA,2016/17,Audited Outcome,Indigent HH receiving FBS,529.17,7.81
NMA,2017/18,Audited Outcome,Indigent HH receiving FBS,556.32,5.13
NMA,2018/19,Original Budget,Indigent HH receiving FBS,601.08,8.05
NMA,2018/19,Adjusted Budget,Indigent HH receiving FBS,601.08,
NMA,2019/20,Budget Year,Indigent HH receiving FBS,663.47,10.38
NMA,2020/21,Budget Year,Indigent HH receiving FBS,742.56,11.92
NMA,2021/22,Budget Year,Indigent HH receiving FBS,836.46,12.64
EC101,2015/16,Audited Outcome,Middle Income Range,,
EC101,2016/17,Audited Outcome,Middle Income Range,,
EC101,2017/18,Audited Outcome,Middle Income Range,,
EC101,2018/19,Original Budget,Middle Income Range,2874.72,
EC101,2018/19,Adjusted Budget,Middle Income Range,2874.72,
EC101,2019/20,Budget Year,Middle Income Range,3289.61,14.43
EC101,2020/21,Budget Year,Middle Income Range,3486.98,6.0
EC101,2021/22,Budget Year,Middle Income Range,3696.2,6.0
EC101,2015/16,Audited Outcome,Affordable Range,,
EC101,2016/17,Audited Outcome,Affordable Range,,
EC101,2017/18,Audited Outcome,Affordable Range,,
EC101,2018/19,Original Budget,Affordable Range,1749.12,
EC101,2018/19,Adjusted Budget,Affordable Range,1749.12,
EC101,2019/20,Budget Year,Affordable Range,2025.93,15.83
EC101,2020/21,Budget Year,Affordable Range,2147.49,6.0
EC101,2021/22,Budget Year,Affordable Range,2276.34,6.0
EC101,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC101,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC101,2017/18,Audited Outcome,Indigent HH receiving FBS,300.0,
EC101,2018/19,Original Budget,Indigent HH receiving FBS,463.99,54.66
EC101,2018/19,Adjusted Budget,Indigent HH receiving FBS,463.99,
EC101,2019/20,Budget Year,Indigent HH receiving FBS,639.63,37.85
EC101,2020/21,Budget Year,Indigent HH receiving FBS,678.01,6.0
EC101,2021/22,Budget Year,Indigent HH receiving FBS,718.69,6.0
EC102,2015/16,Audited Outcome,Middle Income Range,2520.32,
EC102,2016/17,Audited Outcome,Middle Income Range,2731.61,8.38
EC102,2017/18,Audited Outcome,Middle Income Range,2832.45,3.69
EC102,2018/19,Original Budget,Middle Income Range,3060.91,8.07
EC102,2018/19,Adjusted Budget,Middle Income Range,3060.91,
EC102,2019/20,Budget Year,Middle Income Range,3386.38,10.63
EC102,2020/21,Budget Year,Middle Income Range,3589.56,6.0
EC102,2021/22,Budget Year,Middle Income Range,3804.94,6.0
EC102,2015/16,Audited Outcome,Affordable Range,1654.49,
EC102,2016/17,Audited Outcome,Affordable Range,1799.07,8.74
EC102,2017/18,Audited Outcome,Affordable Range,1749.07,-2.78
EC102,2018/19,Original Budget,Affordable Range,1872.69,7.07
EC102,2018/19,Adjusted Budget,Affordable Range,1872.69,
EC102,2019/20,Budget Year,Affordable Range,2022.04,7.98
EC102,2020/21,Budget Year,Affordable Range,2143.36,6.0
EC102,2021/22,Budget Year,Affordable Range,2271.97,6.0
EC102,2015/16,Audited Outcome,Indigent HH receiving FBS,171.72,
EC102,2016/17,Audited Outcome,Indigent HH receiving FBS,188.9,10.0
EC102,2017/18,Audited Outcome,Indigent HH receiving FBS,188.9,
EC102,2018/19,Original Budget,Indigent HH receiving FBS,207.79,10.0
EC102,2018/19,Adjusted Budget,Indigent HH receiving FBS,207.79,
EC102,2019/20,Budget Year,Indigent HH receiving FBS,220.25,6.0
EC102,2020/21,Budget Year,Indigent HH receiving FBS,233.47,6.0
EC102,2021/22,Budget Year,Indigent HH receiving FBS,247.48,6.0
EC104,2015/16,Audited Outcome,Middle Income Range,,
EC104,2016/17,Audited Outcome,Middle Income Range,,
EC104,2017/18,Audited Outcome,Middle Income Range,,
EC104,2018/19,Original Budget,Middle Income Range,2845.96,
EC104,2018/19,Adjusted Budget,Middle Income Range,2845.96,
EC104,2019/20,Budget Year,Middle Income Range,3157.48,10.95
EC104,2020/21,Budget Year,Middle Income Range,3346.93,6.0
EC104,2021/22,Budget Year,Middle Income Range,3547.74,6.0
EC104,2015/16,Audited Outcome,Affordable Range,,
EC104,2016/17,Audited Outcome,Affordable Range,,
EC104,2017/18,Audited Outcome,Affordable Range,,
EC104,2018/19,Original Budget,Affordable Range,1861.04,
EC104,2018/19,Adjusted Budget,Affordable Range,1861.04,
EC104,2019/20,Budget Year,Affordable Range,2054.11,10.37
EC104,2020/21,Budget Year,Affordable Range,2177.36,6.0
EC104,2021/22,Budget Year,Affordable Range,2308.0,6.0
EC104,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC104,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC104,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC104,2018/19,Original Budget,Indigent HH receiving FBS,635.9,
EC104,2018/19,Adjusted Budget,Indigent HH receiving FBS,635.9,
EC104,2019/20,Budget Year,Indigent HH receiving FBS,709.67,11.6
EC104,2020/21,Budget Year,Indigent HH receiving FBS,752.25,6.0
EC104,2021/22,Budget Year,Indigent HH receiving FBS,797.39,6.0
EC105,2015/16,Audited Outcome,Middle Income Range,,
EC105,2016/17,Audited Outcome,Middle Income Range,,
EC105,2017/18,Audited Outcome,Middle Income Range,,
EC105,2018/19,Original Budget,Middle Income Range,1642.49,
EC105,2018/19,Adjusted Budget,Middle Income Range,,-100.0
EC105,2019/20,Budget Year,Middle Income Range,1791.84,
EC105,2020/21,Budget Year,Middle Income Range,1881.43,5.0
EC105,2021/22,Budget Year,Middle Income Range,1975.5,5.0
EC105,2015/16,Audited Outcome,Affordable Range,,
EC105,2016/17,Audited Outcome,Affordable Range,,
EC105,2017/18,Audited Outcome,Affordable Range,,
EC105,2018/19,Original Budget,Affordable Range,1332.39,
EC105,2018/19,Adjusted Budget,Affordable Range,,-100.0
EC105,2019/20,Budget Year,Affordable Range,1410.23,
EC105,2020/21,Budget Year,Affordable Range,1487.8,5.5
EC105,2021/22,Budget Year,Affordable Range,1569.63,5.5
EC105,2015/16,Audited Outcome,Indigent HH receiving FBS,,
EC105,2016/17,Audited Outcome,Indigent HH receiving FBS,,
EC105,2017/18,Audited Outcome,Indigent HH receiving FBS,,
EC105,2018/19,Original Budget,Indigent HH receiving FBS,510.1,
EC105,2018/19,Adjusted Budget,Indigent HH receiving FBS,,-100.0
EC105,2019/20,Budget Year,Indigent HH receiving FBS,540.71,
EC105,2020/21,Budget Year,Indigent HH receiving FBS,567.74,5.0
EC105,2021/22,Budget Year,Indigent HH receiving FBS,596.13,5.0
EC106,2015/16,Audited Outcome,Middle Income Range,2921.91,
EC106,2016/17,Audited Outcome,Middle Income Range,3114.76,6.6
EC106,2017/18,Audited Outcome,Middle Income Range,36988.5,1087.52
EC106,2018/19,Original Budget,Middle Income Range,2312.32,-93.75
EC106,2018/19,Adjusted Budget,Middle Income Range,2312.32,
EC106,2019/20,Budget Year,Middle Income Range,2524.41,9.17
EC106,2020/21,Budget Year,Middle Income Range,2762.34,9.43
EC106,2021/22,Budget Year,Middle Income Range,3026.74,9.57
EC106,2015/16,Audited Outcome,Affordable Range,1322.31,
EC106,2016/17,Audited Outcome,Affordable Range,1409.58,6.6
EC106,2017/18,Audited Outcome,Affordable Range,30354.28,2053.42
EC106,2018/19,Original Budget,Affordable Range,3634.44,-88.03
EC106,2018/19,Adjusted Budget,Affordable Range,3634.44,
EC106,2019/20,Budget Year,Affordable Range,3953.71,8.78
EC106,2020/21,Budget Year,Affordable Range,4311.35,9.05
EC106,2021/22,Budget Year,Affordable Range,4707.62,9.19
EC106,2015/16,Audited Outcome,Indigent HH receiving FBS,1140.47,
EC106,2016/17,Audited Outcome,Indigent HH receiving FBS,1215.74,6.6
EC106,2017/18,Audited Outcome,Indigent HH receiving FBS,13759.89,1031.81
EC106,2018/19,Original Budget,Indigent HH receiving FBS,1120.38,-91.86
EC106,2018/19,Adjusted Budget,Indigent HH receiving FBS,1006.11,-10.2
EC106,2019/20,Budget Year,Indigent HH receiving FBS,1222.21,21.48
EC106,2020/21,Budget Year,Indigent HH receiving FBS,1197.44,-2.03
EC106,2021/22,Budget Year,Indigent HH receiving FBS,1309.63,9.37
EC108,2015/16,Audited Outcome,Middle Income Range,,
EC108,2016/17,Audited Outcome,Middle Income Range,,
