Code,Description,2015/16 AUD,2016/17 AUD,2017/18 AUD,2018/19 OB,2018/19 AB,2019/20 BY,2020/21 BY,2021/22 BY
BUF,Monthly Account for Household - Middle Income Range,,,,,,,,
BUF,Rates and services charges:,,,,,,,,
BUF,Property rates,527.29 ,567.37 ,621.84 ,621.84 ,621.84 ,677.81 ,732.03 ,771.56 
BUF,Electricity: Basic levy,,,,,,,,
BUF,Electricity: Consumption,"1,113.47 ","1,198.54 ","1,221.67 ","1,305.23 ","1,305.23 ","1,475.82 ","1,599.64 ","1,733.85 "
BUF,Water: Basic levy,,,,,,,,
BUF,Water: Consumption,331.04 ,357.53 ,391.50 ,426.74 ,426.74 ,466.85 ,504.20 ,553.86 
BUF,Sanitation,273.03 ,294.33 ,323.17 ,352.26 ,352.26 ,385.37 ,416.20 ,438.67 
BUF,Refuse removal,170.97 ,184.31 ,202.37 ,220.58 ,220.58 ,241.21 ,260.50 ,274.57 
BUF,Other,36.63 ,39.41 ,43.04 ,46.91 ,46.91 ,51.28 ,55.33 ,58.32 
BUF,sub-total,"2,452.43 ","2,641.49 ","2,803.59 ","2,973.56 ","2,973.56 ","3,298.33 ","3,567.89 ","3,830.83 "
BUF,VAT on Services,,,,,,,,
BUF,Total large household bill:,"2,452.43 ","2,641.49 ","2,803.59 ","2,973.56 ","2,973.56 ","3,298.33 ","3,567.89 ","3,830.83 "
BUF,% increase/-decrease,,7.71 ,6.14 ,6.06 ,,10.92 ,8.17 ,7.37 
BUF,Monthly Account for Household - Affordable Range,,,,,,,,
BUF,Rates and services charges:,,,,,,,,
BUF,Property rates,376.64 ,405.26 ,444.16 ,444.16 ,444.16 ,484.13 ,522.87 ,551.10 
BUF,Electricity: Basic levy,,,,,,,,
BUF,Electricity: Consumption,556.74 ,599.27 ,610.84 ,652.62 ,652.62 ,737.92 ,799.83 ,866.94 
BUF,Water: Basic levy,,,,,,,,
BUF,Water: Consumption,275.87 ,297.94 ,326.24 ,355.60 ,355.60 ,389.03 ,420.15 ,461.54 
BUF,Sanitation,97.17 ,104.74 ,115.00 ,125.35 ,125.35 ,137.13 ,148.10 ,156.10 
BUF,Refuse removal,170.97 ,184.30 ,202.36 ,220.57 ,220.57 ,241.20 ,260.49 ,274.56 
BUF,Other,36.63 ,39.41 ,43.04 ,46.91 ,46.91 ,51.28 ,55.33 ,58.32 
BUF,sub-total,"1,514.02 ","1,630.92 ","1,741.64 ","1,845.22 ","1,845.22 ","2,040.69 ","2,206.77 ","2,368.55 "
BUF,VAT on Services,,,,,,,,
BUF,Total large household bill:,"1,514.02 ","1,630.92 ","1,741.64 ","1,845.22 ","1,845.22 ","2,040.69 ","2,206.77 ","2,368.55 "
BUF,% increase/-decrease,,7.72 ,6.79 ,5.95 ,,10.59 ,8.14 ,7.33 
BUF,Monthly Account for Household - Indigent HH receiving FBS,,,,,,,,
BUF,Rates and services charges:,,,,,,,,
BUF,Property rates,112.99 ,121.57 ,133.24 ,133.24 ,133.24 ,145.23 ,156.85 ,165.32 
BUF,Electricity: Basic levy,,,,,,,,
BUF,Electricity: Consumption,55.67 ,59.92 ,61.08 ,65.26 ,65.26 ,73.79 ,79.98 ,86.69 
BUF,Water: Basic levy,,,,,,,,
BUF,Water: Consumption,66.21 ,71.50 ,78.29 ,85.34 ,85.34 ,93.36 ,100.83 ,110.76 
BUF,Sanitation,88.77 ,95.69 ,105.07 ,114.53 ,114.53 ,125.29 ,135.32 ,142.62 
BUF,Refuse removal,170.97 ,184.31 ,202.37 ,220.58 ,220.58 ,241.21 ,260.50 ,274.57 
BUF,Other,36.63 ,39.41 ,43.04 ,46.91 ,46.91 ,51.28 ,55.33 ,58.32 
BUF,sub-total,531.24 ,572.40 ,623.09 ,665.86 ,665.86 ,730.16 ,788.80 ,838.28 
BUF,VAT on Services,,,,,,,,
BUF,Total large household bill:,531.24 ,572.40 ,623.09 ,665.86 ,665.86 ,730.16 ,788.80 ,838.28 
BUF,% increase/-decrease,,7.75 ,8.86 ,6.86 ,,9.66 ,8.03 ,6.27 
NMA,Monthly Account for Household - Middle Income Range,,,,,,,,
NMA,Rates and services charges:,,,,,,,,
NMA,Property rates,555.82 ,608.62 ,635.28 ,667.04 ,667.04 ,718.87 ,787.31 ,862.57 
NMA,Electricity: Basic levy,,,,,,,,
NMA,Electricity: Consumption,"1,395.95 ","1,516.67 ","1,551.77 ","1,642.39 ","1,642.39 ","1,857.05 ","1,883.18 ","2,166.97 "
NMA,Water: Basic levy,34.92 ,38.06 ,41.49 ,45.02 ,45.02 ,48.40 ,52.99 ,58.19 
NMA,Water: Consumption,336.24 ,366.54 ,399.36 ,433.31 ,433.31 ,465.81 ,510.06 ,560.05 
