Geography,Financial Year,Budget Phase,Class,Service Name,Total
BUF,2015/16,Audited Outcome,Middle Income Range,Property rates,527.29
BUF,2016/17,Audited Outcome,Middle Income Range,Property rates,567.37
BUF,2017/18,Audited Outcome,Middle Income Range,Property rates,621.84
BUF,2018/19,Original Budget,Middle Income Range,Property rates,621.84
BUF,2018/19,Adjusted Budget,Middle Income Range,Property rates,621.84
BUF,2019/20,Budget Year,Middle Income Range,Property rates,677.81
BUF,2020/21,Budget Year,Middle Income Range,Property rates,732.03
BUF,2021/22,Budget Year,Middle Income Range,Property rates,771.56
BUF,2015/16,Audited Outcome,Middle Income Range,Electricity: Basic levy,
BUF,2016/17,Audited Outcome,Middle Income Range,Electricity: Basic levy,
BUF,2017/18,Audited Outcome,Middle Income Range,Electricity: Basic levy,
BUF,2018/19,Original Budget,Middle Income Range,Electricity: Basic levy,
BUF,2018/19,Adjusted Budget,Middle Income Range,Electricity: Basic levy,
BUF,2019/20,Budget Year,Middle Income Range,Electricity: Basic levy,
BUF,2020/21,Budget Year,Middle Income Range,Electricity: Basic levy,
BUF,2021/22,Budget Year,Middle Income Range,Electricity: Basic levy,
BUF,2015/16,Audited Outcome,Middle Income Range,Electricity: Consumption,1113.47
BUF,2016/17,Audited Outcome,Middle Income Range,Electricity: Consumption,1198.54
BUF,2017/18,Audited Outcome,Middle Income Range,Electricity: Consumption,1221.67
BUF,2018/19,Original Budget,Middle Income Range,Electricity: Consumption,1305.23
BUF,2018/19,Adjusted Budget,Middle Income Range,Electricity: Consumption,1305.23
BUF,2019/20,Budget Year,Middle Income Range,Electricity: Consumption,1475.82
BUF,2020/21,Budget Year,Middle Income Range,Electricity: Consumption,1599.64
BUF,2021/22,Budget Year,Middle Income Range,Electricity: Consumption,1733.85
BUF,2015/16,Audited Outcome,Middle Income Range,Water: Basic levy,
BUF,2016/17,Audited Outcome,Middle Income Range,Water: Basic levy,
BUF,2017/18,Audited Outcome,Middle Income Range,Water: Basic levy,
BUF,2018/19,Original Budget,Middle Income Range,Water: Basic levy,
BUF,2018/19,Adjusted Budget,Middle Income Range,Water: Basic levy,
BUF,2019/20,Budget Year,Middle Income Range,Water: Basic levy,
BUF,2020/21,Budget Year,Middle Income Range,Water: Basic levy,
BUF,2021/22,Budget Year,Middle Income Range,Water: Basic levy,
BUF,2015/16,Audited Outcome,Middle Income Range,Water: Consumption,331.04
BUF,2016/17,Audited Outcome,Middle Income Range,Water: Consumption,357.53
BUF,2017/18,Audited Outcome,Middle Income Range,Water: Consumption,391.5
BUF,2018/19,Original Budget,Middle Income Range,Water: Consumption,426.74
BUF,2018/19,Adjusted Budget,Middle Income Range,Water: Consumption,426.74
BUF,2019/20,Budget Year,Middle Income Range,Water: Consumption,466.85
BUF,2020/21,Budget Year,Middle Income Range,Water: Consumption,504.2
BUF,2021/22,Budget Year,Middle Income Range,Water: Consumption,553.86
BUF,2015/16,Audited Outcome,Middle Income Range,Sanitation,273.03
BUF,2016/17,Audited Outcome,Middle Income Range,Sanitation,294.33
BUF,2017/18,Audited Outcome,Middle Income Range,Sanitation,323.17
BUF,2018/19,Original Budget,Middle Income Range,Sanitation,352.26
BUF,2018/19,Adjusted Budget,Middle Income Range,Sanitation,352.26
BUF,2019/20,Budget Year,Middle Income Range,Sanitation,385.37
BUF,2020/21,Budget Year,Middle Income Range,Sanitation,416.2
BUF,2021/22,Budget Year,Middle Income Range,Sanitation,438.67
BUF,2015/16,Audited Outcome,Middle Income Range,Refuse removal,170.97
BUF,2016/17,Audited Outcome,Middle Income Range,Refuse removal,184.31
BUF,2017/18,Audited Outcome,Middle Income Range,Refuse removal,202.37
BUF,2018/19,Original Budget,Middle Income Range,Refuse removal,220.58
BUF,2018/19,Adjusted Budget,Middle Income Range,Refuse removal,220.58
BUF,2019/20,Budget Year,Middle Income Range,Refuse removal,241.21
BUF,2020/21,Budget Year,Middle Income Range,Refuse removal,260.5
BUF,2021/22,Budget Year,Middle Income Range,Refuse removal,274.57
BUF,2015/16,Audited Outcome,Middle Income Range,Other,36.63
BUF,2016/17,Audited Outcome,Middle Income Range,Other,39.41
BUF,2017/18,Audited Outcome,Middle Income Range,Other,43.04
BUF,2018/19,Original Budget,Middle Income Range,Other,46.91
BUF,2018/19,Adjusted Budget,Middle Income Range,Other,46.91
BUF,2019/20,Budget Year,Middle Income Range,Other,51.28
BUF,2020/21,Budget Year,Middle Income Range,Other,55.33
BUF,2021/22,Budget Year,Middle Income Range,Other,58.32
BUF,2015/16,Audited Outcome,Affordable Range,Property rates,376.64
BUF,2016/17,Audited Outcome,Affordable Range,Property rates,405.26
BUF,2017/18,Audited Outcome,Affordable Range,Property rates,444.16
BUF,2018/19,Original Budget,Affordable Range,Property rates,444.16
BUF,2018/19,Adjusted Budget,Affordable Range,Property rates,444.16
BUF,2019/20,Budget Year,Affordable Range,Property rates,484.13
BUF,2020/21,Budget Year,Affordable Range,Property rates,522.87
BUF,2021/22,Budget Year,Affordable Range,Property rates,551.1
BUF,2015/16,Audited Outcome,Affordable Range,Electricity: Basic levy,
BUF,2016/17,Audited Outcome,Affordable Range,Electricity: Basic levy,
BUF,2017/18,Audited Outcome,Affordable Range,Electricity: Basic levy,
BUF,2018/19,Original Budget,Affordable Range,Electricity: Basic levy,
BUF,2018/19,Adjusted Budget,Affordable Range,Electricity: Basic levy,
BUF,2019/20,Budget Year,Affordable Range,Electricity: Basic levy,
BUF,2020/21,Budget Year,Affordable Range,Electricity: Basic levy,
BUF,2021/22,Budget Year,Affordable Range,Electricity: Basic levy,
BUF,2015/16,Audited Outcome,Affordable Range,Electricity: Consumption,556.74
BUF,2016/17,Audited Outcome,Affordable Range,Electricity: Consumption,599.27
BUF,2017/18,Audited Outcome,Affordable Range,Electricity: Consumption,610.84
BUF,2018/19,Original Budget,Affordable Range,Electricity: Consumption,652.62
BUF,2018/19,Adjusted Budget,Affordable Range,Electricity: Consumption,652.62
BUF,2019/20,Budget Year,Affordable Range,Electricity: Consumption,737.92
BUF,2020/21,Budget Year,Affordable Range,Electricity: Consumption,799.83
BUF,2021/22,Budget Year,Affordable Range,Electricity: Consumption,866.94
BUF,2015/16,Audited Outcome,Affordable Range,Water: Basic levy,
BUF,2016/17,Audited Outcome,Affordable Range,Water: Basic levy,
BUF,2017/18,Audited Outcome,Affordable Range,Water: Basic levy,
BUF,2018/19,Original Budget,Affordable Range,Water: Basic levy,
BUF,2018/19,Adjusted Budget,Affordable Range,Water: Basic levy,
BUF,2019/20,Budget Year,Affordable Range,Water: Basic levy,
BUF,2020/21,Budget Year,Affordable Range,Water: Basic levy,
BUF,2021/22,Budget Year,Affordable Range,Water: Basic levy,
BUF,2015/16,Audited Outcome,Affordable Range,Water: Consumption,275.87
BUF,2016/17,Audited Outcome,Affordable Range,Water: Consumption,297.94
BUF,2017/18,Audited Outcome,Affordable Range,Water: Consumption,326.24
BUF,2018/19,Original Budget,Affordable Range,Water: Consumption,355.6
BUF,2018/19,Adjusted Budget,Affordable Range,Water: Consumption,355.6
BUF,2019/20,Budget Year,Affordable Range,Water: Consumption,389.03
BUF,2020/21,Budget Year,Affordable Range,Water: Consumption,420.15
BUF,2021/22,Budget Year,Affordable Range,Water: Consumption,461.54
BUF,2015/16,Audited Outcome,Affordable Range,Sanitation,97.17
BUF,2016/17,Audited Outcome,Affordable Range,Sanitation,104.74
BUF,2017/18,Audited Outcome,Affordable Range,Sanitation,115.0
BUF,2018/19,Original Budget,Affordable Range,Sanitation,125.35
BUF,2018/19,Adjusted Budget,Affordable Range,Sanitation,125.35
BUF,2019/20,Budget Year,Affordable Range,Sanitation,137.13
BUF,2020/21,Budget Year,Affordable Range,Sanitation,148.1
BUF,2021/22,Budget Year,Affordable Range,Sanitation,156.1
BUF,2015/16,Audited Outcome,Affordable Range,Refuse removal,170.97
BUF,2016/17,Audited Outcome,Affordable Range,Refuse removal,184.3
BUF,2017/18,Audited Outcome,Affordable Range,Refuse removal,202.36
BUF,2018/19,Original Budget,Affordable Range,Refuse removal,220.57
BUF,2018/19,Adjusted Budget,Affordable Range,Refuse removal,220.57
BUF,2019/20,Budget Year,Affordable Range,Refuse removal,241.2
BUF,2020/21,Budget Year,Affordable Range,Refuse removal,260.49
BUF,2021/22,Budget Year,Affordable Range,Refuse removal,274.56
BUF,2015/16,Audited Outcome,Affordable Range,Other,36.63
BUF,2016/17,Audited Outcome,Affordable Range,Other,39.41
BUF,2017/18,Audited Outcome,Affordable Range,Other,43.04
BUF,2018/19,Original Budget,Affordable Range,Other,46.91
BUF,2018/19,Adjusted Budget,Affordable Range,Other,46.91
BUF,2019/20,Budget Year,Affordable Range,Other,51.28
BUF,2020/21,Budget Year,Affordable Range,Other,55.33
BUF,2021/22,Budget Year,Affordable Range,Other,58.32
BUF,2015/16,Audited Outcome,Indigent HH receiving FBS,Property rates,112.99
BUF,2016/17,Audited Outcome,Indigent HH receiving FBS,Property rates,121.57
BUF,2017/18,Audited Outcome,Indigent HH receiving FBS,Property rates,133.24
BUF,2018/19,Original Budget,Indigent HH receiving FBS,Property rates,133.24
BUF,2018/19,Adjusted Budget,Indigent HH receiving FBS,Property rates,133.24
BUF,2019/20,Budget Year,Indigent HH receiving FBS,Property rates,145.23
BUF,2020/21,Budget Year,Indigent HH receiving FBS,Property rates,156.85
BUF,2021/22,Budget Year,Indigent HH receiving FBS,Property rates,165.32
BUF,2015/16,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
BUF,2016/17,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
BUF,2017/18,Audited Outcome,Indigent HH receiving FBS,Electricity: Basic levy,
BUF,2018/19,Original Budget,Indigent HH receiving FBS,Electricity: Basic levy,
BUF,2018/19,Adjusted Budget,Indigent HH receiving FBS,Electricity: Basic levy,
BUF,2019/20,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
BUF,2020/21,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
BUF,2021/22,Budget Year,Indigent HH receiving FBS,Electricity: Basic levy,
BUF,2015/16,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,55.67
BUF,2016/17,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,59.92
BUF,2017/18,Audited Outcome,Indigent HH receiving FBS,Electricity: Consumption,61.08
BUF,2018/19,Original Budget,Indigent HH receiving FBS,Electricity: Consumption,65.26
BUF,2018/19,Adjusted Budget,Indigent HH receiving FBS,Electricity: Consumption,65.26
BUF,2019/20,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,73.79
BUF,2020/21,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,79.98
BUF,2021/22,Budget Year,Indigent HH receiving FBS,Electricity: Consumption,86.69
BUF,2015/16,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,
BUF,2016/17,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,
BUF,2017/18,Audited Outcome,Indigent HH receiving FBS,Water: Basic levy,
BUF,2018/19,Original Budget,Indigent HH receiving FBS,Water: Basic levy,
BUF,2018/19,Adjusted Budget,Indigent HH receiving FBS,Water: Basic levy,
BUF,2019/20,Budget Year,Indigent HH receiving FBS,Water: Basic levy,
BUF,2020/21,Budget Year,Indigent HH receiving FBS,Water: Basic levy,
BUF,2021/22,Budget Year,Indigent HH receiving FBS,Water: Basic levy,
BUF,2015/16,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,66.21
BUF,2016/17,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,71.5
BUF,2017/18,Audited Outcome,Indigent HH receiving FBS,Water: Consumption,78.29
BUF,2018/19,Original Budget,Indigent HH receiving FBS,Water: Consumption,85.34
BUF,2018/19,Adjusted Budget,Indigent HH receiving FBS,Water: Consumption,85.34
BUF,2019/20,Budget Year,Indigent HH receiving FBS,Water: Consumption,93.36
BUF,2020/21,Budget Year,Indigent HH receiving FBS,Water: Consumption,100.83
BUF,2021/22,Budget Year,Indigent HH receiving FBS,Water: Consumption,110.76
BUF,2015/16,Audited Outcome,Indigent HH receiving FBS,Sanitation,88.77
BUF,2016/17,Audited Outcome,Indigent HH receiving FBS,Sanitation,95.69
BUF,2017/18,Audited Outcome,Indigent HH receiving FBS,Sanitation,105.07
BUF,2018/19,Original Budget,Indigent HH receiving FBS,Sanitation,114.53
BUF,2018/19,Adjusted Budget,Indigent HH receiving FBS,Sanitation,114.53
BUF,2019/20,Budget Year,Indigent HH receiving FBS,Sanitation,125.29
BUF,2020/21,Budget Year,Indigent HH receiving FBS,Sanitation,135.32
BUF,2021/22,Budget Year,Indigent HH receiving FBS,Sanitation,142.62
BUF,2015/16,Audited Outcome,Indigent HH receiving FBS,Refuse removal,170.97
BUF,2016/17,Audited Outcome,Indigent HH receiving FBS,Refuse removal,184.31
